City_ID,City,Country,Date,Temperature,Latitude,Longtude,Humidity,Wind speed,Cloudiness
85,Touros,BR,1565234454,69.8,-5.2,-35.46,100,4.7,20
86,Sistranda,NO,1565234454,56.21,63.73,8.83,93,9.17,75
87,Chuy,UY,1565234455,54.28,-33.69,-53.46,83,10.63,31
88,Arraial do Cabo,BR,1565234356,66.84,-22.97,-42.02,90,15.5,1
89,Alihe,CN,1565234455,65.17,50.57,123.73,70,3.18,100
90,Dembi Dolo,ET,1565234455,69.99,8.53,34.8,74,5.08,69
91,Saint-Philippe,CA,1565234456,70.86,45.36,-73.48,94,3.36,90
92,Butaritari,KI,1565234456,84.34,3.07,172.79,76,18.14,58
93,Zakamensk,RU,1565234456,54.57,50.38,103.29,69,3.2,95
94,Egvekinot,RU,1565234346,50.99,66.32,-179.17,86,13.22,100
95,Torbay,CA,1565234457,54.72,47.66,-52.73,100,4.7,90
96,Kodino,RU,1565234457,45.98,63.72,39.64,89,3.44,80
97,The Valley,AI,1565234457,81.75,18.22,-63.06,78,11.41,20
98,Cape Town,ZA,1565234159,49.21,-33.93,18.42,100,8.05,20
99,Vilyuysk,RU,1565234458,72.55,63.75,121.63,37,8.1,100
100,Boundiali,CI,1565234458,70.64,9.53,-6.48,94,2.89,43
101,Amapa,HN,1565234459,82.4,15.09,-87.97,83,6.93,75
102,Navahrudak,BY,1565234459,60.13,53.59,25.82,95,8.08,89
103,Manakara,MG,1565234459,58.11,-22.14,48.01,92,4.05,0
104,Atuona,PF,1565234460,79.84,-9.8,-139.03,74,20.83,0
105,Alofi,NU,1565234460,77,-19.06,-169.92,83,12.75,75
106,Georgetown,GY,1565234460,75.2,6.8,-58.16,100,4.7,20
107,Umm Lajj,SA,1565234460,83.57,25.02,37.27,67,10.29,0
108,Trinidad,BO,1565234409,71.2,-14.83,-64.9,52,2.21,0
109,Cabo San Lucas,MX,1565234287,82.13,22.89,-109.91,45,4.7,40
110,Nantucket,US,1565234399,73.29,41.28,-70.1,94,12.75,1
111,Bambous Virieux,MU,1565234461,67.55,-20.34,57.76,83,3.36,40
112,Erenhot,CN,1565234462,71.7,43.65,111.97,41,5.37,37
113,Bandarbeyla,SO,1565234462,78.11,9.49,50.81,61,28.07,83
114,Port Blair,IN,1565234462,83.35,11.67,92.75,80,25.03,77
115,Hilo,US,1565234463,77.74,19.71,-155.08,65,9.17,90
116,Barrow,AR,1565234390,38.28,-38.31,-60.23,64,4.29,0
117,Lishui,CN,1565234463,85.53,28.45,119.91,65,3.29,49
118,Albany,US,1565234182,68.14,42.65,-73.75,78,6.93,90
119,Cherskiy,RU,1565234386,69.08,68.75,161.3,52,4.76,100
120,Souillac,FR,1565234464,64.72,45.6,-0.6,82,3.36,0
121,Tautira,PF,1565234464,82.17,-17.73,-149.15,65,4.7,20
122,Verkhoyansk,RU,1565234464,70.07,67.55,133.39,44,4.68,49
123,Marsabit,KE,1565234465,73.34,2.34,37.99,65,17.09,4
124,Pisco,PE,1565234465,57.65,-13.71,-76.2,82,4.7,0
125,Vung Tau,VN,1565234465,78.38,10.35,107.08,87,14.72,100
126,Rumonge,BI,1565234466,66.97,-3.97,29.44,50,5.61,61
127,Manicore,BR,1565234466,72.64,-5.81,-61.3,89,1.25,11
128,Abu Samrah,SY,1565234466,66.68,35.3,37.18,80,9.48,0
129,East London,ZA,1565234400,55.4,-33.02,27.91,62,12.75,0
